Region,Date,Frequency,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Area
Bihar,31-03-2020,Monthly,13.28,23749786,40.07,Rural
Bihar,30-04-2020,Monthly,15.02,23549902,41.26,Rural
Bihar,31-05-2020,Monthly,9.89,24062853,41.01,Rural
Bihar,30-06-2020,Monthly,10.22,23980227,42.48,Rural
Bihar,31-07-2020,Monthly,10.23,24061509,40.32,Rural
Bihar,31-08-2020,Monthly,6.92,24293791,41.67,Rural
Bihar,30-09-2020,Monthly,7.23,24108400,39.19,Rural
Bihar,31-10-2020,Monthly,4.2,24431165,38.01,Rural
Bihar,30-11-2020,Monthly,9.42,23964837,38.57,Rural
Bihar,31-01-2019,Monthly,7.2,17252934,43.19,Urban
Bihar,28-02-2019,Monthly,5.04,17457240,43.29,Urban
Bihar,31-03-2019,Monthly,7.18,17269933,42.99,Urban
Bihar,30-04-2019,Monthly,5.74,17367734,40.67,Urban
Bihar,31-05-2019,Monthly,7.07,17423297,42.43,Urban
Bihar,30-06-2019,Monthly,7.38,17368831,43.41,Urban
Bihar,31-07-2019,Monthly,7.31,17285791,41.7,Urban
Bihar,31-08-2019,Monthly,10.94,17104022,41.64,Urban
Bihar,30-09-2019,Monthly,4.95,17466464,42.76,Urban
Bihar,31-10-2019,Monthly,6.24,17373109,44.22,Urban
Bihar,30-11-2019,Monthly,3.4,17482126,40.68,Urban
Bihar,31-12-2019,Monthly,4.98,17403324,41.46,Urban
Bihar,31-01-2020,Monthly,8.05,17357378,43.45,Urban
Bihar,29-02-2020,Monthly,7.03,17327020,45.24,Urban
Bihar,31-03-2020,Monthly,22.2,16469773,42.16,Urban
Bihar,30-04-2020,Monthly,22.89,16419513,40.09,Urban
Bihar,31-05-2020,Monthly,24.31,16339663,43.06,Urban
Bihar,30-06-2020,Monthly,14.06,16922582,41.93,Urban
Bihar,31-07-2020,Monthly,8.91,17229780,41.39,Urban
Bihar,31-08-2020,Monthly,,17133367,42.67,Urban
Bihar,30-09-2020,Monthly,9.84,17203016,41.22,Urban
Bihar,31-10-2020,Monthly,15.07,16981230,43.51,Urban
Bihar,30-11-2020,Monthly,8.02,17236451,40.22,Urban
Chhattisgarh,31-01-2019,Monthly,9.29,9490649,36.64,Rural
Chhattisgarh,28-02-2019,Monthly,6.32,9654045,36.23,Rural
Chhattisgarh,31-03-2019,Monthly,8.69,9562607,37.73,Rural
Chhattisgarh,30-04-2019,Monthly,7.0,9605215,39.64,Rural
Chhattisgarh,31-05-2019,Monthly,8.71,9580709,37.17,Rural
Chhattisgarh,30-06-2019,Monthly,8.21,9630035,38.62,Rural
Chhattisgarh,31-07-2019,Monthly,9.39,9550177,36.14,Rural
Chhattisgarh,31-08-2019,Monthly,6.6,9680374,37.96,Rural
Chhattisgarh,30-09-2019,Monthly,9.42,9553583,38.16,Rural
Chhattisgarh,31-10-2019,Monthly,7.3,9598698,34.05,Rural
Chhattisgarh,30-11-2019,Monthly,7.61,9707182,37.11,Rural
Chhattisgarh,31-12-2019,Monthly,7.45,9672708,36.84,Rural
Chhattisgarh,31-01-2020,Monthly,6.14,9723978,37.13,Rural
Chhattisgarh,29-02-2020,Monthly,7.73,9668111,36.82,Rural
Chhattisgarh,31-03-2020,Monthly,21.45,9171971,37.72,Rural
Chhattisgarh,30-04-2020,Monthly,16.94,9423197,37.2,Rural
Chhattisgarh,31-05-2020,Monthly,24.55,9097374,36.4,Rural
Chhattisgarh,30-06-2020,Monthly,20.75,9213774,36.06,Rural
Chhattisgarh,31-07-2020,Monthly,13.08,9529533,37.22,Rural
Chhattisgarh,31-08-2020,Monthly,12.7,9420059,36.11,Rural
Chhattisgarh,30-09-2020,Monthly,9.86,9631687,37.51,Rural
Chhattisgarh,31-10-2020,Monthly,9.4,9579502,39.89,Rural
Chhattisgarh,30-11-2020,Monthly,11.5,9544720,37.3,Rural
Chhattisgarh,31-01-2019,Monthly,10.3,5204343,43.03,Urban
Chhattisgarh,28-02-2019,Monthly,10.78,5156122,46.69,Urban
Chhattisgarh,31-03-2019,Monthly,10.15,5119163,43.13,Urban
Chhattisgarh,30-04-2019,Monthly,11.81,4984691,43.37,Urban
Chhattisgarh,31-05-2019,Monthly,10.16,5110115,45.65,Urban
Chhattisgarh,30-06-2019,Monthly,7.17,5166887,43.64,Urban
Chhattisgarh,31-07-2019,Monthly,7.44,5158508,44.48,Urban
Chhattisgarh,31-08-2019,Monthly,8.37,5181135,42.69,Urban
Chhattisgarh,30-09-2019,Monthly,10.85,5244626,43.72,Urban
Chhattisgarh,31-10-2019,Monthly,7.23,5207101,43.51,Urban
Chhattisgarh,30-11-2019,Monthly,8.99,5143828,42.99,Urban
Chhattisgarh,31-12-2019,Monthly,11.93,4965857,41.15,Urban
Chhattisgarh,31-01-2020,Monthly,7.97,5144513,43.2,Urban
Chhattisgarh,29-02-2020,Monthly,10.48,5148216,44.64,Urban
Chhattisgarh,31-03-2020,Monthly,20.13,5015522,45.17,Urban
Chhattisgarh,30-04-2020,Monthly,20.66,4923914,43.76,Urban
Chhattisgarh,31-05-2020,Monthly,19.26,4921433,44.5,Urban
Chhattisgarh,30-06-2020,Monthly,19.76,4927587,43.93,Urban
Chhattisgarh,31-07-2020,Monthly,12.92,5029066,44.38,Urban
Chhattisgarh,31-08-2020,Monthly,9.53,5225133,42.15,Urban
Chhattisgarh,30-09-2020,Monthly,11.23,5032098,44.37,Urban
Chhattisgarh,31-10-2020,Monthly,15.51,4933537,41.54,Urban
Chhattisgarh,30-11-2020,Monthly,14.39,5032553,44.12,Urban
Delhi,31-01-2019,Monthly,11.39,14241816,48.79,Rural
Delhi,28-02-2019,Monthly,8.82,14327232,47.92,Rural
Delhi,31-03-2019,Monthly,12.08,14231512,47.77,Rural
Delhi,30-04-2019,Monthly,8.2,14304328,49.08,Rural
Delhi,31-05-2019,Monthly,,14211658,48.73,Rural
Delhi,30-06-2019,Monthly,12.75,14134301,49.03,Rural
Delhi,31-07-2019,Monthly,9.55,14262097,47.67,Rural
Delhi,31-08-2019,Monthly,9.89,14293631,48.66,Rural
Delhi,30-09-2019,Monthly,10.37,14219461,47.31,Rural
Delhi,31-10-2019,Monthly,9.64,14350792,46.31,Rural
Delhi,30-11-2019,Monthly,11.61,14244171,47.39,Rural
Delhi,31-12-2019,Monthly,10.46,14316190,46.6,Rural
Delhi,31-01-2020,Monthly,13.31,14154908,49.8,Rural
Delhi,29-02-2020,Monthly,8.6,14377101,48.02,Rural
Delhi,31-03-2020,Monthly,25.27,13721153,49.27,Rural
Delhi,30-04-2020,Monthly,38.99,12969088,49.53,Rural
Delhi,31-05-2020,Monthly,26.37,13569484,48.33,Rural
Delhi,30-06-2020,Monthly,23.07,13781100,48.56,Rural
Delhi,31-07-2020,Monthly,16.89,14055350,49.42,Rural
Delhi,31-08-2020,Monthly,14.1,14048429,48.35,Rural
Delhi,30-09-2020,Monthly,18.09,13958600,48.74,Rural
Delhi,31-10-2020,Monthly,15.14,14101073,48.16,Rural
Delhi,30-11-2020,Monthly,17.3,14017245,48.45,Rural
Delhi,31-01-2019,Monthly,6.79,15097622,35.18,Urban
Delhi,28-02-2019,Monthly,4.16,15305015,35.24,Urban
Delhi,31-03-2019,Monthly,6.39,15210216,35.79,Urban
Delhi,30-04-2019,Monthly,7.5,15100624,33.94,Urban
Delhi,31-05-2019,Monthly,6.5,15136888,36.83,Urban
Delhi,30-06-2019,Monthly,9.25,14971274,34.94,Urban
Delhi,31-07-2019,Monthly,3.08,15268849,37.3,Urban
Delhi,31-08-2019,Monthly,5.09,15237741,35.19,Urban
Delhi,30-09-2019,Monthly,4.93,15155260,34.63,Urban
Delhi,31-10-2019,Monthly,2.75,15246034,34.27,Urban
Delhi,30-11-2019,Monthly,8.46,15091240,35.3,Urban
Delhi,31-12-2019,Monthly,10.89,14896317,36.96,Urban
Delhi,31-01-2020,Monthly,9.01,14984671,34.92,Urban
Delhi,29-02-2020,Monthly,6.84,15085888,34.96,Urban
Delhi,31-03-2020,Monthly,19.16,14617626,34.87,Urban
Delhi,30-04-2020,Monthly,23.14,14343494,34.71,Urban
Delhi,31-05-2020,Monthly,14.96,14818441,37.71,Urban
Delhi,30-06-2020,Monthly,11.97,14908696,36.21,Urban
Delhi,31-07-2020,Monthly,10.64,14932240,34.6,Urban
Delhi,31-08-2020,Monthly,9.76,14934298,34.55,Urban
Delhi,30-09-2020,Monthly,7.92,15041146,35.82,Urban
Delhi,31-10-2020,Monthly,4.78,15168901,37.0,Urban
Delhi,30-11-2020,Monthly,8.86,15057598,37.77,Urban
Goa,31-01-2019,Monthly,7.66,22079245,48.24,Rural
Goa,28-02-2019,Monthly,8.11,21990948,47.54,Rural
Goa,31-03-2019,Monthly,6.59,22133675,48.41,Rural
Goa,30-04-2019,Monthly,4.29,22303002,47.44,Rural
Goa,31-05-2019,Monthly,6.44,22138818,45.33,Rural
Goa,30-06-2019,Monthly,7.5,22139472,47.22,Rural
Goa,31-07-2019,Monthly,5.79,22259386,46.85,Rural
Goa,31-08-2019,Monthly,6.8,22120895,47.45,Rural
Goa,30-09-2019,Monthly,6.95,22050635,47.12,Rural
Goa,31-10-2019,Monthly,4.8,22223547,47.11,Rural
Goa,30-11-2019,Monthly,5.98,22186507,48.84,Rural
Goa,31-12-2019,Monthly,6.38,22055510,46.47,Rural
Goa,31-01-2020,Monthly,4.88,22132196,47.49,Rural
Goa,29-02-2020,Monthly,5.74,22239992,48.53,Rural
Goa,31-03-2020,Monthly,14.03,21617560,49.18,Rural
Goa,30-04-2020,Monthly,16.29,21514371,46.71,Rural
Goa,31-05-2020,Monthly,10.86,21909372,46.86,Rural
Goa,30-06-2020,Monthly,19.85,21241884,46.69,Rural
Goa,31-07-2020,Monthly,9.99,21918484,47.73,Rural
Goa,31-08-2020,Monthly,9.15,22015441,47.55,Rural
Goa,30-09-2020,Monthly,7.21,22174401,46.91,Rural
Goa,31-10-2020,Monthly,4.8,22167984,47.64,Rural
Goa,30-11-2020,Monthly,8.53,21900489,46.42,Rural
Goa,31-01-2019,Monthly,6.12,7191185,45.37,Urban
Goa,28-02-2019,Monthly,11.72,7114505,46.05,Urban
Goa,31-03-2019,Monthly,10.18,7160127,42.97,Urban
Goa,30-04-2019,Monthly,7.31,7208899,45.21,Urban
Goa,31-05-2019,Monthly,,7315922,46.19,Urban
Goa,30-06-2019,Monthly,8.85,7156884,45.76,Urban
Goa,31-07-2019,Monthly,8.15,7197602,44.65,Urban
Goa,31-08-2019,Monthly,9.94,7189090,44.73,Urban
Goa,30-09-2019,Monthly,11.26,7191682,45.66,Urban
Goa,31-10-2019,Monthly,9.28,7278745,44.98,Urban
Goa,30-11-2019,Monthly,7.95,7166475,44.84,Urban
Goa,31-12-2019,Monthly,8.23,7166386,46.17,Urban
Goa,31-01-2020,Monthly,10.49,7229226,45.95,Urban
Goa,29-02-2020,Monthly,6.39,7261774,44.82,Urban
Goa,31-03-2020,Monthly,16.48,6997452,43.42,Urban
Goa,30-04-2020,Monthly,34.51,6655069,43.19,Urban
Goa,31-05-2020,Monthly,18.41,6978843,46.68,Urban
Goa,30-06-2020,Monthly,20.31,7014625,43.47,Urban
Goa,31-07-2020,Monthly,11.43,7195879,47.08,Urban
Goa,31-08-2020,Monthly,13.51,7041751,45.81,Urban
Goa,30-09-2020,Monthly,11.41,7149674,44.98,Urban
Goa,31-10-2020,Monthly,8.29,7203283,44.04,Urban
Goa,30-11-2020,Monthly,11.88,7047361,46.82,Urban
Gujarat,31-01-2019,Monthly,10.16,7321143,50.74,Rural
Gujarat,28-02-2019,Monthly,9.24,7438763,47.88,Rural
Gujarat,31-03-2019,Monthly,10.3,7364630,49.16,Rural
Gujarat,30-04-2019,Monthly,14.35,7307673,51.11,Rural
Gujarat,31-05-2019,Monthly,10.92,7358107,49.46,Rural
Gujarat,30-06-2019,Monthly,10.23,7377147,48.31,Rural
Gujarat,31-07-2019,Monthly,11.63,7251789,50.65,Rural
Gujarat,31-08-2019,Monthly,10.57,7270877,53.07,Rural
Gujarat,30-09-2019,Monthly,12.36,7283022,50.28,Rural
Gujarat,31-10-2019,Monthly,10.04,7401863,48.77,Rural
Gujarat,30-11-2019,Monthly,9.73,7405990,50.59,Rural
Gujarat,31-12-2019,Monthly,12.29,7335072,51.95,Rural
Gujarat,31-01-2020,Monthly,10.85,7422057,50.87,Rural
Gujarat,29-02-2020,Monthly,11.1,7309331,51.5,Rural
Gujarat,31-03-2020,Monthly,26.75,6968457,49.47,Rural
Gujarat,30-04-2020,Monthly,38.87,6746229,51.27,Rural
Gujarat,31-05-2020,Monthly,27.0,7048662,50.97,Rural
Gujarat,30-06-2020,Monthly,26.37,7050928,50.31,Rural
Gujarat,31-07-2020,Monthly,13.2,7322100,49.34,Rural
Gujarat,31-08-2020,Monthly,12.88,7259232,47.57,Rural
Gujarat,30-09-2020,Monthly,13.26,7206780,48.78,Rural
Gujarat,31-10-2020,Monthly,10.38,7388749,48.71,Rural
Gujarat,30-11-2020,Monthly,13.58,7419759,50.73,Rural
Gujarat,31-01-2019,Monthly,7.28,9895749,33.41,Urban
Gujarat,28-02-2019,Monthly,11.84,9862117,36.2,Urban
Gujarat,31-03-2019,Monthly,9.55,9933796,35.72,Urban
Gujarat,30-04-2019,Monthly,7.24,9994104,35.34,Urban
Gujarat,31-05-2019,Monthly,6.13,9950946,34.06,Urban
Gujarat,30-06-2019,Monthly,6.03,10023274,37.2,Urban
Gujarat,31-07-2019,Monthly,8.76,9870870,35.12,Urban
Gujarat,31-08-2019,Monthly,5.92,10034345,37.6,Urban
Gujarat,30-09-2019,Monthly,7.52,9878243,35.91,Urban
Gujarat,31-10-2019,Monthly,11.38,9836161,34.69,Urban
Gujarat,30-11-2019,Monthly,8.57,9931916,36.04,Urban
Gujarat,31-12-2019,Monthly,8.51,9947695,35.98,Urban
Gujarat,31-01-2020,Monthly,5.99,9942461,34.55,Urban
Gujarat,29-02-2020,Monthly,10.04,9852851,37.57,Urban
Gujarat,31-03-2020,Monthly,14.37,9706767,37.96,Urban
Gujarat,30-04-2020,Monthly,27.33,9315690,34.96,Urban
Gujarat,31-05-2020,Monthly,16.29,9692044,35.21,Urban
Gujarat,30-06-2020,Monthly,18.31,9641503,37.14,Urban
Gujarat,31-07-2020,Monthly,8.46,9888979,37.35,Urban
Gujarat,31-08-2020,Monthly,12.18,9870671,35.75,Urban
Gujarat,30-09-2020,Monthly,10.52,9847247,35.14,Urban
Gujarat,31-10-2020,Monthly,7.67,9917743,34.68,Urban
Gujarat,30-11-2020,Monthly,10.79,9869640,33.52,Urban
Haryana,31-01-2019,Monthly,12.3,17292217,45.0,Rural
Haryana,28-02-2019,Monthly,11.55,17398061,42.18,Rural
Haryana,31-03-2019,Monthly,13.36,17249370,43.2,Rural
Haryana,30-04-2019,Monthly,7.58,17687001,42.63,Rural
Haryana,31-05-2019,Monthly,12.17,17390183,41.68,Rural
Haryana,30-06-2019,Monthly,12.2,17361754,43.93,Rural
Haryana,31-07-2019,Monthly,15.65,17191289,43.22,Rural
Haryana,31-08-2019,Monthly,9.34,17537882,43.69,Rural
Haryana,30-09-2019,Monthly,10.55,17380730,40.79,Rural
Haryana,31-10-2019,Monthly,11.46,17505891,41.64,Rural
Haryana,30-11-2019,Monthly,11.08,17460568,43.09,Rural
Haryana,31-12-2019,Monthly,10.5,17478416,43.71,Rural
Haryana,31-01-2020,Monthly,10.13,17432206,43.64,Rural
Haryana,29-02-2020,Monthly,9.18,17523870,43.2,Rural
Haryana,31-03-2020,Monthly,30.73,16397398,44.66,Rural
Haryana,30-04-2020,Monthly,28.6,16345355,43.07,Rural
Haryana,31-05-2020,Monthly,20.9,16878498,43.06,Rural
Haryana,30-06-2020,Monthly,33.46,16118825,42.22,Rural
Haryana,31-07-2020,Monthly,13.53,17279010,41.54,Rural
Haryana,31-08-2020,Monthly,16.46,17079515,43.49,Rural
Haryana,30-09-2020,Monthly,12.16,17434803,43.17,Rural
Haryana,31-10-2020,Monthly,17.07,17066686,42.5,Rural
Haryana,30-11-2020,Monthly,11.89,17359737,42.53,Rural
Haryana,31-01-2019,Monthly,8.61,17534270,45.43,Urban
Haryana,28-02-2019,Monthly,6.57,17586201,47.06,Urban
Haryana,31-03-2019,Monthly,8.82,17416978,45.05,Urban
Haryana,30-04-2019,Monthly,10.19,17439817,47.17,Urban
Haryana,31-05-2019,Monthly,7.77,17504715,47.68,Urban
Haryana,30-06-2019,Monthly,6.67,17589717,44.86,Urban
Haryana,31-07-2019,Monthly,,17302871,46.09,Urban
Haryana,31-08-2019,Monthly,8.98,17423722,44.45,Urban
Haryana,30-09-2019,Monthly,7.15,17638974,46.96,Urban
Haryana,31-10-2019,Monthly,10.74,17316048,45.29,Urban
Haryana,30-11-2019,Monthly,8.29,17611890,46.48,Urban
Haryana,31-12-2019,Monthly,8.88,17512227,46.44,Urban
Haryana,31-01-2020,Monthly,8.37,17522715,46.4,Urban
Haryana,29-02-2020,Monthly,7.76,17537068,47.49,Urban
Haryana,31-03-2020,Monthly,14.55,17099559,46.04,Urban
Haryana,30-04-2020,Monthly,23.87,16722911,46.67,Urban
Haryana,31-05-2020,Monthly,14.84,17210583,48.07,Urban
Haryana,30-06-2020,Monthly,18.01,17046147,45.71,Urban
Haryana,31-07-2020,Monthly,8.62,17552663,47.88,Urban
Haryana,31-08-2020,Monthly,10.61,17381019,48.96,Urban
Haryana,30-09-2020,Monthly,14.6,17191137,48.5,Urban
Haryana,31-10-2020,Monthly,10.24,17388496,46.5,Urban
Haryana,30-11-2020,Monthly,8.71,17584217,45.89,Urban
Himachal Pradesh,31-01-2019,Monthly,10.96,9531961,37.86,Rural
Himachal Pradesh,28-02-2019,Monthly,11.92,9504788,35.85,Rural
Himachal Pradesh,31-03-2019,Monthly,12.14,9493177,37.62,Rural
Himachal Pradesh,30-04-2019,Monthly,12.19,9471275,36.86,Rural
Himachal Pradesh,31-05-2019,Monthly,13.66,9379114,36.19,Rural
Himachal Pradesh,30-06-2019,Monthly,12.44,9472323,37.69,Rural
Himachal Pradesh,31-07-2019,Monthly,12.05,9589167,37.5,Rural
Himachal Pradesh,31-08-2019,Monthly,9.56,9548825,37.9,Rural
Himachal Pradesh,30-09-2019,Monthly,12.24,9392274,36.57,Rural
Himachal Pradesh,31-10-2019,Monthly,11.31,9493903,35.14,Rural
Himachal Pradesh,30-11-2019,Monthly,10.56,9525181,38.26,Rural
Himachal Pradesh,31-12-2019,Monthly,10.82,9422803,35.49,Rural
Himachal Pradesh,31-01-2020,Monthly,11.41,9459284,38.89,Rural
Himachal Pradesh,29-02-2020,Monthly,12.28,9367369,38.57,Rural
Himachal Pradesh,31-03-2020,Monthly,24.21,9164203,36.16,Rural
Himachal Pradesh,30-04-2020,Monthly,42.58,8566554,36.0,Rural
Himachal Pradesh,31-05-2020,Monthly,31.65,8942447,38.05,Rural
Himachal Pradesh,30-06-2020,Monthly,25.41,9065391,38.4,Rural
Himachal Pradesh,31-07-2020,Monthly,12.89,9411691,37.66,Rural
Himachal Pradesh,31-08-2020,Monthly,18.68,9125207,37.78,Rural
Himachal Pradesh,30-09-2020,Monthly,12.47,9353391,36.72,Rural
Himachal Pradesh,31-10-2020,Monthly,15.97,9353164,37.51,Rural
Himachal Pradesh,30-11-2020,Monthly,16.96,9343630,36.55,Rural
Himachal Pradesh,31-01-2019,Monthly,9.56,8481886,42.23,Urban
Himachal Pradesh,28-02-2019,Monthly,9.39,8549367,41.3,Urban
Himachal Pradesh,31-03-2019,Monthly,12.39,8408676,41.66,Urban
Himachal Pradesh,30-04-2019,Monthly,11.36,8479127,43.35,Urban
Himachal Pradesh,31-05-2019,Monthly,12.75,8421144,45.7,Urban
Himachal Pradesh,30-06-2019,Monthly,11.87,8484545,44.0,Urban
Himachal Pradesh,31-07-2019,Monthly,7.9,8588245,45.05,Urban
Himachal Pradesh,31-08-2019,Monthly,10.72,8431230,44.0,Urban
Himachal Pradesh,30-09-2019,Monthly,9.58,8551483,42.61,Urban
Himachal Pradesh,31-10-2019,Monthly,9.77,8500111,43.7,Urban
Himachal Pradesh,30-11-2019,Monthly,8.74,8564714,43.24,Urban
Himachal Pradesh,31-12-2019,Monthly,9.55,8510958,44.42,Urban
Himachal Pradesh,31-01-2020,Monthly,9.42,8431880,42.94,Urban
