Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
corolla altis,2014,0.26,0.99,93247,Petrol,Dealer,Manual,0
fortuner,2014,5.73,16.93,137739,Petrol,Dealer,Manual,0
fortuner,2015,0.27,0.81,154817,Petrol,Individual,Manual,0
ciaz,2011,1.41,7.09,67991,Petrol,Individual,Manual,0
ritz,2015,1.56,4.93,146240,Petrol,Individual,Automatic,0
i20,2017,3.28,8.96,129807,Petrol,Dealer,Automatic,3
ertiga,2015,1.07,3.58,55644,Petrol,Dealer,Manual,0
ritz,2003,0.21,1.86,199747,Petrol,Dealer,Manual,0
baleno,2011,6.73,30.66,213933,Petrol,Dealer,Manual,1
ertiga,2009,2.84,14.29,88925,Petrol,Individual,Manual,0
swift,2011,3.57,15.37,192684,Petrol,Dealer,Manual,0
corolla altis,2010,0.59,2.76,207946,Petrol,Individual,Manual,1
corolla altis,2003,0.2,0.9,275037,Petrol,Dealer,Manual,0
ertiga,2014,0.92,3.31,107141,Petrol,Dealer,Manual,0
verna,2010,1.4,6.38,233694,Petrol,Dealer,Manual,0
ritz,2010,0.82,3.57,171647,Petrol,Dealer,Manual,0
i20,2017,5.21,13.8,86754,Diesel,Dealer,Manual,0
ciaz,2013,0.76,2.98,90066,Petrol,Dealer,Manual,1
sx4,2005,3.13,25.8,163144,Petrol,Dealer,Manual,0
corolla altis,2003,0.59,5.18,122123,Petrol,Dealer,Manual,0
verna,2010,2.71,14.44,179967,Diesel,Dealer,Manual,0
sx4,2005,0.26,2.22,189780,Petrol,Dealer,Manual,0
amaze,2005,0.63,4.57,305545,Petrol,Dealer,Manual,0
amaze,2003,0.82,9.62,200566,Petrol,Dealer,Manual,0
i20,2013,0.4,1.72,192905,Petrol,Individual,Manual,0
city,2007,0.26,1.67,207365,Diesel,Dealer,Automatic,0
wagon r,2012,7.41,26.78,156963,Diesel,Individual,Manual,1
ciaz,2009,1.68,10.0,239152,Petrol,Dealer,Automatic,0
corolla altis,2012,0.22,0.91,149898,Petrol,Dealer,Manual,0
ciaz,2011,0.97,4.42,185864,CNG,Individual,Manual,0
amaze,2014,1.45,4.86,135938,Diesel,Dealer,Manual,1
swift,2009,2.05,10.82,238046,Petrol,Dealer,Manual,1
swift,2011,0.61,2.77,168898,Diesel,Dealer,Manual,0
sx4,2010,0.42,2.13,239081,CNG,Dealer,Automatic,0
swift,2014,0.37,1.23,172800,Petrol,Dealer,Manual,0
duster,2004,0.55,4.79,123514,Petrol,Dealer,Manual,0
city,2003,0.95,9.35,193979,Petrol,Individual,Automatic,0
creta,2018,0.52,1.05,97101,Diesel,Dealer,Manual,0
sx4,2009,3.02,19.11,232495,Petrol,Dealer,Manual,1
corolla altis,2009,1.0,4.98,164852,Diesel,Dealer,Manual,0
xuv500,2016,1.08,2.66,89900,Petrol,Individual,Manual,0
sx4,2010,0.25,1.34,145036,Petrol,Dealer,Manual,0
brio,2007,0.31,2.11,139935,Petrol,Dealer,Manual,0
creta,2005,2.53,21.06,248684,Petrol,Dealer,Manual,0
city,2014,2.27,8.23,176361,Diesel,Individual,Manual,0
sx4,2010,1.18,6.05,104042,Diesel,Dealer,Manual,0
sx4,2008,1.23,8.63,167070,Diesel,Dealer,Manual,0
swift,2013,1.24,4.89,149090,Petrol,Dealer,Automatic,1
baleno,2005,1.4,10.42,90085,Petrol,Dealer,Automatic,0
sx4,2003,0.2,0.97,245133,Petrol,Dealer,Manual,0
fortuner,2005,0.92,6.86,165805,Petrol,Dealer,Automatic,0
ciaz,2007,0.29,1.9,183538,Petrol,Individual,Manual,0
corolla altis,2017,0.71,1.56,68444,Petrol,Individual,Manual,0
amaze,2016,1.41,3.74,80502,Petrol,Dealer,Manual,0
fortuner,2005,0.2,1.32,217861,Petrol,Individual,Manual,0
fortuner,2003,0.2,1.34,197038,CNG,Dealer,Manual,0
ritz,2007,0.44,3.4,281951,Diesel,Dealer,Manual,0
xuv500,2012,7.23,29.76,169299,Petrol,Dealer,Manual,0
verna,2009,0.42,2.05,171146,Petrol,Individual,Manual,0
swift,2017,0.27,0.73,83777,Petrol,Dealer,Manual,0
duster,2016,4.06,11.41,111260,Petrol,Dealer,Manual,0
duster,2009,2.52,12.93,142072,Diesel,Dealer,Manual,0
xuv500,2013,1.15,3.79,85887,Diesel,Dealer,Manual,0
brio,2011,1.24,5.29,160800,Petrol,Dealer,Manual,0
brio,2017,3.19,8.47,46940,Petrol,Dealer,Manual,0
i20,2017,0.42,0.97,113753,Petrol,Dealer,Manual,0
corolla altis,2012,5.31,22.94,168546,Petrol,Dealer,Manual,0
i10,2012,4.45,16.93,148803,Petrol,Dealer,Manual,0
i10,2014,0.98,2.87,122785,Diesel,Individual,Manual,0
kwid,2015,0.26,0.72,112831,Petrol,Dealer,Manual,0
amaze,2005,2.84,20.92,251226,Petrol,Dealer,Manual,0
kwid,2017,2.01,5.81,121891,Diesel,Individual,Manual,1
amaze,2018,3.07,6.41,117763,Petrol,Dealer,Manual,0
i10,2009,1.85,9.24,218844,Petrol,Dealer,Manual,0
baleno,2003,0.67,7.78,140281,Petrol,Individual,Manual,0
i20,2006,3.34,22.2,150577,Petrol,Dealer,Manual,0
swift,2015,6.87,22.25,54539,Petrol,Dealer,Manual,0
corolla altis,2018,7.42,15.74,71592,Petrol,Dealer,Manual,1
kwid,2006,1.21,8.19,94886,Petrol,Dealer,Manual,1
innova,2016,4.9,12.71,147054,Diesel,Dealer,Manual,0
amaze,2007,1.19,9.08,208695,Petrol,Dealer,Manual,0
sx4,2009,1.31,6.99,197878,Diesel,Dealer,Manual,0
kwid,2009,0.3,1.63,207995,CNG,Dealer,Manual,0
sx4,2015,4.88,13.1,104565,Petrol,Individual,Manual,0
wagon r,2017,5.33,13.49,95298,Diesel,Individual,Manual,0
verna,2013,2.06,7.98,119783,Petrol,Dealer,Manual,0
innova,2015,4.82,13.48,94104,Diesel,Dealer,Manual,3
xuv500,2006,1.12,8.51,218462,Petrol,Individual,Automatic,0
baleno,2015,0.81,2.34,123050,Petrol,Dealer,Manual,0
xuv500,2018,1.41,3.0,92689,Petrol,Dealer,Manual,0
kwid,2009,0.49,2.41,79873,Diesel,Individual,Manual,0
city,2013,1.16,4.15,91667,Petrol,Dealer,Manual,0
xuv500,2005,0.2,0.9,139904,Petrol,Individual,Manual,0
kwid,2008,1.15,7.82,264294,Diesel,Individual,Manual,0
corolla altis,2014,0.98,3.68,169919,Petrol,Dealer,Manual,0
verna,2004,0.85,8.6,250497,Petrol,Dealer,Manual,0
city,2012,0.94,4.25,158142,Petrol,Dealer,Manual,0
ertiga,2015,3.18,9.18,168345,Petrol,Individual,Manual,0
innova,2016,1.47,3.72,109711,Petrol,Individual,Manual,0
wagon r,2011,0.65,2.87,146286,Diesel,Individual,Manual,0
ritz,2007,0.94,5.74,277172,Petrol,Dealer,Manual,0
wagon r,2008,1.79,9.45,261872,Petrol,Individual,Manual,0
duster,2014,1.26,3.81,131906,Petrol,Individual,Manual,0
verna,2014,6.79,21.29,89681,Diesel,Dealer,Manual,0
sx4,2014,0.27,0.9,103299,Diesel,Individual,Manual,0
innova,2014,1.38,4.66,97460,Petrol,Individual,Manual,0
i20,2006,3.12,26.32,174937,Diesel,Individual,Manual,0
i20,2016,2.34,6.56,152108,Petrol,Dealer,Manual,1
kwid,2016,1.95,4.73,58186,Diesel,Dealer,Manual,0
baleno,2013,2.05,6.9,134059,Petrol,Dealer,Automatic,0
duster,2018,2.89,7.03,123499,Diesel,Dealer,Manual,0
swift,2012,2.56,10.47,68766,Petrol,Dealer,Manual,0
duster,2009,0.32,1.62,84219,Petrol,Individual,Manual,0
xuv500,2014,0.72,2.76,50641,Petrol,Individual,Manual,0
city,2011,1.54,7.12,197560,Petrol,Individual,Automatic,0
creta,2009,3.18,15.74,210501,Petrol,Dealer,Manual,0
innova,2016,2.43,6.79,61804,Petrol,Dealer,Automatic,0
duster,2003,0.23,2.64,108515,Petrol,Dealer,Manual,0
ertiga,2003,0.93,9.14,252569,Petrol,Individual,Manual,0
xuv500,2011,2.65,10.7,130647,Petrol,Individual,Manual,0
ritz,2013,0.74,2.64,125092,Petrol,Individual,Automatic,1
brio,2016,1.4,4.16,100239,Petrol,Dealer,Manual,0
baleno,2011,1.36,6.33,92411,Diesel,Individual,Manual,0
wagon r,2006,0.77,5.75,102170,Petrol,Individual,Manual,0
swift,2015,1.47,4.3,78567,Petrol,Dealer,Automatic,0
ertiga,2011,0.78,3.25,164812,Petrol,Individual,Manual,0
ritz,2005,0.2,1.39,214988,Petrol,Dealer,Manual,0
innova,2009,0.21,1.01,102303,Diesel,Dealer,Manual,0
wagon r,2008,3.45,24.47,223271,Petrol,Dealer,Manual,0
xuv500,2010,2.85,14.69,121074,Petrol,Dealer,Manual,0
i20,2013,0.91,3.89,160219,Petrol,Dealer,Manual,0
baleno,2011,5.22,24.16,166878,Diesel,Dealer,Manual,0
verna,2016,3.36,9.07,114527,Petrol,Dealer,Automatic,0
i10,2007,0.83,5.54,115252,Petrol,Dealer,Manual,0
duster,2003,0.51,5.69,168025,Diesel,Dealer,Automatic,0
duster,2005,0.2,1.25,261311,Petrol,Dealer,Manual,0
innova,2012,0.28,1.32,145356,Petrol,Dealer,Automatic,0
ertiga,2014,2.44,7.52,178316,Petrol,Dealer,Manual,0
brio,2010,1.52,6.65,211985,Petrol,Dealer,Manual,0
xuv500,2017,0.92,2.39,46880,Petrol,Dealer,Manual,0
ertiga,2013,6.17,22.52,79131,Petrol,Dealer,Manual,0
creta,2008,1.91,12.0,101978,Diesel,Dealer,Manual,0
fortuner,2018,0.57,1.5,86757,CNG,Individual,Manual,0
verna,2018,8.96,20.64,102594,Petrol,Dealer,Manual,0
ciaz,2010,6.16,28.04,68698,Petrol,Dealer,Manual,0
baleno,2011,9.61,41.88,134222,Petrol,Individual,Manual,0
creta,2006,0.2,1.03,209955,Petrol,Individual,Manual,0
kwid,2003,1.18,10.62,178660,Petrol,Individual,Manual,0
amaze,2016,2.42,6.52,111286,Petrol,Individual,Automatic,0
ciaz,2003,1.08,9.78,319093,Diesel,Dealer,Automatic,0
innova,2012,6.71,26.57,166531,Petrol,Dealer,Automatic,0
verna,2006,1.29,9.34,254365,Diesel,Dealer,Manual,0
fortuner,2014,3.77,14.2,58136,Petrol,Dealer,Manual,0
verna,2016,5.21,15.72,150015,Petrol,Dealer,Manual,0
swift,2009,2.98,14.27,231231,Petrol,Dealer,Manual,0
kwid,2004,0.48,4.76,321041,Petrol,Dealer,Manual,0
ertiga,2005,0.35,2.49,219700,Diesel,Individual,Manual,0
swift,2003,0.44,4.39,193804,Petrol,Individual,Manual,0
i20,2007,2.3,17.29,265006,Diesel,Dealer,Manual,0
sx4,2003,0.2,1.79,276744,Petrol,Individual,Manual,0
creta,2010,1.11,6.0,175560,Diesel,Dealer,Automatic,0
verna,2003,0.29,2.59,248753,Petrol,Individual,Manual,1
verna,2013,1.89,7.13,91719,Diesel,Dealer,Manual,0
city,2003,1.51,15.52,348082,Petrol,Individual,Automatic,0
wagon r,2004,1.73,16.52,154377,Petrol,Individual,Manual,0
ritz,2004,0.26,2.63,208709,Petrol,Dealer,Manual,0
i20,2014,5.54,18.47,72311,Diesel,Dealer,Manual,3
swift,2008,1.08,7.32,257612,Diesel,Dealer,Manual,0
swift,2009,0.77,3.83,256091,Petrol,Dealer,Manual,0
swift,2007,1.41,9.84,97367,Petrol,Dealer,Automatic,0
sx4,2018,2.39,5.53,67827,Diesel,Dealer,Manual,0
verna,2003,0.41,4.16,313860,Diesel,Dealer,Automatic,3
baleno,2005,1.4,10.42,90085,Petrol,Dealer,Automatic,0
creta,2010,1.11,6.0,175560,Diesel,Dealer,Automatic,0
wagon r,2011,0.65,2.87,146286,Diesel,Individual,Manual,0
kwid,2015,0.26,0.72,112831,Petrol,Dealer,Manual,0
fortuner,2005,0.59,5.59,316799,Petrol,Dealer,Manual,0
